Data;Prec;Temp;Umidade;VentoRaj;Coluna1
2015-12-02;0;21,033333;78,041667;12,3;
2015-12-03;0;20;79,875;12,3;
2015-12-04;37,2;23,454167;79,666667;12,2;
2015-12-05;0;20,708333;74,666667;13,7;
2015-12-06;0;17,995833;63;11,8;
2015-12-07;0;17,2;70,166667;7,5;
2015-12-08;0;20,7875;72,666667;13,4;
2015-12-09;0;22,845833;78,333333;9,7;
2015-12-10;3,2;21,883333;69,75;9,7;
2015-12-11;0;25,383333;51,25;8,6;
2015-12-12;0;25,283333;73,666667;9,4;
2015-12-13;6,4;25,083333;69,208333;15,4;
2015-12-14;0;24,391667;78,333333;10,4;
2015-12-15;,2;23,070833;75,625;12,9;
2015-12-16;2,4;20,8;66,541667;10,4;
2015-12-17;0;23,208333;73,666667;17,6;
2015-12-18;37,4;22,0375;87,041667;11,5;
2015-12-19;18,4;20,508333;67,791667;9,3;
2015-12-20;0;20,029167;58;10,8;
2015-12-21;0;22,933333;69,083333;14,5;
2015-12-22;0;22,95;82,458333;13,7;
2015-12-23;2,8;23,395833;84,458333;14,5;
2015-12-24;2,4;22,425;86,5;10,2;
2015-12-25;,6;22,641667;76,666667;7,9;
2015-12-26;0;22,4625;70,416667;7,1;
2015-12-27;0;23,15;80,958333;6,7;
2015-12-28;0;23,7625;78,541667;9,4;
2015-12-29;0;25,075;80,5;12;
2015-12-30;,4;26,075;85,25;11,1;
2015-12-31;25;23,704167;81,75;12,6;
2016-01-01;,2;23,416667;71,208333;9;
2016-01-02;0;23,154167;71,875;14,1;
2016-01-03;0;23,666667;69,041667;14,5;
2016-01-04;0;24,304167;72,25;14,2;
2016-01-05;2,2;23,179167;84,5;12,2;
2016-01-06;44,8;24,3;85,958333;7,6;
2016-01-07;6,6;22,895833;79,666667;12,5;
2016-01-08;0;22,225;67,791667;8,1;
2016-01-09;0;22,804167;71,5;9;
2016-01-10;0;23,670833;78,625;9,9;
2016-01-11;0;24,145833;82,5;9;
2016-01-12;,2;25,008333;74,125;8,7;
2016-01-13;0;24,675;74;11,9;
2016-01-14;0;23,554167;57,791667;10,6;
2016-01-15;0;23,8;65,583333;8,6;
2016-01-16;0;23,529167;75,458333;7,9;
2016-01-17;0;25,2125;70,25;7,7;
2016-01-18;0;26,7375;65,75;9,4;
2016-01-19;0;24,620833;74,5;8,9;
2016-01-20;0;24,2625;67,666667;7,9;
2016-01-21;0;24,379167;64,208333;12,1;
2016-01-22;0;24,325;63,541667;13,1;
2016-01-23;0;25,379167;67,416667;9,9;
2016-01-24;,6;26,03913;68,521739;12,4;
2016-01-25;0;26,895833;68,833333;13,9;
2016-01-26;4,8;21,883333;70,833333;11,4;
2016-01-27;,4;20,683333;67,25;8,2;
2016-01-28;0;23,566667;65,916667;14,6;
2016-01-29;,6;25,141667;81,208333;12,6;
2016-01-30;2,2;24,091667;82,75;11,3;
2016-01-31;,6;23,891667;74,5;9,4;
2016-02-01;3;21,491667;70,583333;11;
2016-02-02;,2;22,079167;71,291667;8,4;
2016-02-03;0;23,616667;74,333333;13,3;
2016-02-04;25;23,1625;80,375;13;
2016-02-05;4,4;22,991667;72,583333;8,4;
2016-02-06;0;23,758333;71,791667;9,8;
2016-02-07;0;24,404167;70,791667;13,4;
2016-02-08;0;25,141667;79,583333;15,9;
2016-02-09;50,6;25,925;80,708333;12,3;
2016-02-10;,2;24,820833;79,333333;8,6;
2016-02-11;0;24,975;76;10,7;
2016-02-12;0;25,479167;75,916667;11,1;
2016-02-13;0;25,145833;82,083333;13,1;
2016-02-14;17,6;23,991667;80,708333;9,3;
2016-02-15;,2;23,320833;74;7,3;
2016-02-16;0;25,541667;72,375;13;
2016-02-17;0;26,720833;75,375;16,5;
2016-02-18;5,6;24,875;77,958333;9,4;
2016-02-19;,4;23,691667;79,333333;7;
2016-02-20;0;25,595833;71,5;8,8;
2016-02-21;0;25,575;70,125;10,7;
2016-02-22;0;25,795833;73,333333;12,8;
2016-02-23;0;26,1625;77,125;9,7;
